CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY,CAPTION_ID,CAPTION_EN,Image_Path
Jayyida Data 7 Pandan Wangi,Lamongan,Pandan Wangi,"FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ/, Kupu-Kupu/ Butterfly/ 蝶) // FLORA (Pandan/ Vanilla Grass / タコノキ)","Hitam/ Black/ 黒い, Sage/ Sage / セージグリーン",Tulis,Primisima,Sintetik,Non Geometris,Pandan sering dipakai dimasakan lokal/ Pandan is often used in local dishes/ タコノキは地元料理によく使われます。,"Pandan Wangi merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah hitam dan sage, membentuk motif utama bandeng lele dan pandan. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Primisima. Secara filosofis, Pandan sering dipakai dimasakan lokal/ Pandan is often used in local dishes/ タコノキは地元料理によく使われます。","The batik fabric features the Lamongan motif, characterized by black, sage motifs. The dominant motifs include milkfish and catfish and vanilla grass. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 7 Pandan Wangi.jpg
Jayyida Data 8 Urang Kucing,Lamongan,Urang Kucing,"FAUNA (Urang Kucing/ Cat Shrimps / シャコ, Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ) // FLORA (Daun Kelor/ Moringa Leaves/ モリンガの葉)","Hitam/ Black/ 黒い, Coklat Krem/ Light brown / ベージュ",Tulis,Juantiu,Sintetik,Non Geometris,"Jengkel karena anak minta dimasakkan udang berbentuk kucing, tapi minta digunting/ Annoyed because the child asked to cooked shrimp shaped like a cat, but asked to cut it up/ 子どもに猫の形をシャコを料理して、しかも切ってほしいと頼まれて、いらいらしました。","Urang Kucing merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah hitam dan coklat krem, membentuk motif utama urang kucing dan daun kelor. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Juantiu. Secara filosofis, Jengkel karena anak minta dimasakkan udang berbentuk kucing, tapi minta digunting/ Annoyed because the child asked to cooked shrimp shaped like a cat, but asked to cut it up/ 子どもに猫の形をシャコを料理して、しかも切ってほしいと頼まれて、いらいらしました。","The batik fabric features the Lamongan motif, characterized by black, light brown motifs. The dominant motifs include cat shrimps and moringa leaves. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 8 Urang Kucing.jpg
Jayyida Data 9 Teratai Sili,Lamongan,Teratai Sili,FLORA (Teratai/ Lotus / 蓮) // FAUNA (Ikan Sily/ Fire Eel/ ファイアーイール ),"Hitam/ Black/ 黒い, Kuning/ Yellow/ 黄色, Hijau/ Green/ 緑",Tulis,Juantiu,Sintetik,Non Geometris,"Ikan Sily yang menjadi ciri khas Lamongan/ Fire eel, wich is a characteristic of Lamongan/ ファイアーイールラモンガンの特徴です。","Teratai Sili merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah hitam dan kuning dan hijau, membentuk motif utama teratai dan ikan sily. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Juantiu. Secara filosofis, Ikan Sily yang menjadi ciri khas Lamongan/ Fire eel, wich is a characteristic of Lamongan/ ファイアーイールラモンガンの特徴です。","The batik fabric features the Lamongan motif, characterized by black, yellow, green motifs. The dominant motifs include lotus and fire eel. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 9 Teratai Sili.jpg
Jayyida Data 10 Gedagan Daun Anggur ,Lamongan,Gendagan Daun Anggur,CULTURE (Gendang/ Gendang / ゲンダング) // FLORA (Daun Anggur/ grape leaves / ブドウの葉),"Burgundy/ Burgundy / バーガンディー, Hitam/ Black/黒い, Putih/ White/ 白い",Tulis,Juantiu,Sintetik,Non Geometris,Terinpirasi dari ketika menanam anggur/ Inspired by planting grapes/ ブドウを植えるときに着想を得た。,"Gendagan Daun Anggur merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah burgundy dan hitam dan putih, membentuk motif utama gendang dan daun anggur. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Juantiu. Secara filosofis, Terinpirasi dari ketika menanam anggur/ Inspired by planting grapes/ ブドウを植えるときに着想を得た。","The batik fabric features the Lamongan motif, characterized by burgundy, black, white motifs. The dominant motifs include gendang and grape leaves. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 10 Gedagan Daun Anggur.jpg
Jayyida Data 11 Canting Bambu,Lamongan,Canting Bambu,CULTURE (Canting/ Canting/ チャンティング) // FLORA (Pohon Bambu/ Bamboo / 竹),"Burgundy/ Burgundy / バーガンディー, Biru Muda/ Light Blue / ライトブルー, Hijau/ Green / 緑, Merah Muda/ Pink / ピンク
",Tulis,Primisima,Sintetik,Non Geometris,Terinspirasi dari kegiatan membatik sehari-hari/ Inspired by everyday batik activities/ 日常のバティック活動から着想を得た。,"Canting Bambu merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah burgundy dan biru muda dan hijau dan merah muda, membentuk motif utama canting dan pohon bambu. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Primisima. Secara filosofis, Terinspirasi dari kegiatan membatik sehari-hari/ Inspired by everyday batik activities/ 日常のバティック活動から着想を得た。","The batik fabric features the Lamongan motif, characterized by burgundy, light blue, green, pink motifs. The dominant motifs include canting and bamboo. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 11 Canting Bambu.jpg
Jayyida Data 12  Bandeng Lele Melati ,Lamongan,Bandeng Lele Melati,"FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ) // FLORA (Melati/ Jasmine/ ジャスミン, Mawar/ Rose/ 薔薇)","Pink Cerah/ Bright pink / 明るいピンク, Merah/ Red/ 赤い",Kombinasi cap dan tulis/ 型押しと手描きの組み合わせ,Prima Lampion,Sintetik,Non Geometris,"Menggabungkan simbol ikan bandeng dan lele yang melambangkan kelimpahan sumber daya air, dengan bunga melati yang melambangkan kesucian dan keanggunan./ Combining the symbols of milkfish and catfish, which represent the abundance of water resources, with jasmine and roses, which symbolise purity and elegance./","Bandeng Lele Melati merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah pink cerah dan merah, membentuk motif utama bandeng lele dan melati. Dibuat dengan teknik kombinasi cap dan tulis/ 型押しと手描きの組み合わせ menggunakan pewarna sintetik pada kain Prima Lampion. Secara filosofis, Menggabungkan simbol ikan bandeng dan lele yang melambangkan kelimpahan sumber daya air, dengan bunga melati yang melambangkan kesucian dan keanggunan./ Combining the symbols of milkfish and catfish, which represent the abundance of water resources, with jasmine and roses, which symbolise purity and elegance./","The batik fabric features the Lamongan motif, characterized by bright pink, red motifs. The dominant motifs include milkfish and catfish and jasmine. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 12  Bandeng Lele Melati.jpg
Jayyida Data 13 Kipas Siup,Lamongan,Kipas Siup,CLASSIC (Kipas/ Folding Fan / 手持ち扇) // FLORA (Melati/ Jasmine/ ジャスミン) // FAUNA (Burung Merak/ Peacock/ 孔雀),"Merah Marun/ Maroon / エンジ色 , Abu-Abu/ Grey/ グレー",Tulis,Juantiu,Sintetik,Non Geometris,Terinspirasi dari kipas Bali/ Inspired by traditional Balinese folding fan/ バリの手持ち扇から着想を得た。,"Kipas Siup merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah merah marun dan abu-abu, membentuk motif utama kipas, melati dan burung merak. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Juantiu. Secara filosofis, Terinspirasi dari kipas Bali/ Inspired by traditional Balinese folding fan/ バリの手持ち扇から着想を得た。","The batik fabric features the Lamongan motif, characterized by maroon, grey motifs. The dominant motifs include folding fan, jasmine and peacock. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 13 Kipas Siup.jpg
Jayyida Data 14 Singa Duduk (Mitos),Lamongan,Singa Duduk,CULTURE (Singa Duduk/ Singa Duduk/ シンガ・ドゥドゥク),"Kuning Kunyit/Turmeric Yellow / 山吹色, Hitam/ Black/ 黒い",Tulis,Juantiu,Sintetik,Non Geometris,Mitos lokal di gapura makam/ Local myths at the tomb gate/ 墓門の地元の伝説,"Singa Duduk merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah kuning kunyit dan hitam, membentuk motif utama singa duduk. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Juantiu. Secara filosofis, Mitos lokal di gapura makam/ Local myths at the tomb gate/ 墓門の地元の伝説","The batik fabric features the Lamongan motif, characterized by turmeric yellow, black motifs. The dominant motifs include singa duduk. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 14 Singa Duduk (Mitos).jpg
Jayyida Data 15 Pager Ayu,Lamongan,Pager Ayu,"FLORA (Bunga Semanggi/ Clover / クロバー, Latohan/ Seaweed / 海藻 ) // FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ)",Merah Hati/ Maroon / エンジ色,Tulis,Juantiu,Sintetik,Non Geometris,Pagar hidup di desa/ Living fence in the village/ 村にある生け垣。,"Pager Ayu merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah merah hati, membentuk motif utama bunga semanggi dan bandeng lele. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Juantiu. Secara filosofis, Pagar hidup di desa/ Living fence in the village/ 村にある生け垣。","The batik fabric features the Lamongan motif, characterized by maroon motifs. The dominant motifs include clover and milkfish and catfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 15 Pager Ayu.jpg
Jayyida Data 16 Burung Merpati,Lamongan,Burung Merpati,FAUNA (Merpati/ Dove / 鳩),"Ungu/ Purple/ 紫, Merah/ Red/ 赤い, Biru/ Blue/ 青い",Tulis,Primisima,Sintetik (Naptol dan Remasol),Geometris,"Bagaimana menyebarkan cinta, kasih, harmoni, dan perdamaian yang disimbolkan dengan sepasang merpati./How to spread love, compassion, harmony, and peace symbolized by a pair of doves./ 一対のハトに象徴される愛と慈しみ、調和と平和を広めていく方法。","Burung Merpati merupakan mahakarya kelas Batik Lamongan dengan tata letak geometris. Warna yang digunakan adalah ungu dan merah dan biru, membentuk motif utama merpati. Dibuat dengan teknik tulis menggunakan pewarna sintetik (naptol dan remasol) pada kain Primisima. Secara filosofis, Bagaimana menyebarkan cinta, kasih, harmoni, dan perdamaian yang disimbolkan dengan sepasang merpati./How to spread love, compassion, harmony, and peace symbolized by a pair of doves./ 一対のハトに象徴される愛と慈しみ、調和と平和を広めていく方法。","The batik fabric features the Lamongan motif, characterized by purple, red, blue motifs. The dominant motifs include dove. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 16 Burung Merpati.jpg
Jayyida Data 17 Sendang Dhuwur ,Lamongan,Sendang Duwur,CLASSIC (Parang yang dibuat dari huruf SD (Sendang Duwur) // FLORA (Bunga Semanggi/ Clover / クロバー,"Hitam/ Black/ 黒い, Merah/ Red/ 赤い",Tulis,Juantiu,Sintetik,Non Geometris,Bentuk penghormatan langsung kepada identitas wilayah Sendang Duwur. Mencerminkan kekayaan alam dan kedalaman nilai Sendang Duwur./ A direct tribute to the identity of Sendang Duwur. It reflects the natural wealth and the profound values of Sendang Duwur./ センダン・ドゥウル地域のアイデンティティへの直接的な敬意の表れ。センダン・ドゥウルの自然の豊かさと深い価値を反映している。,"Sendang Duwur merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah hitam dan merah, membentuk motif utama parang yang dibuat dari huruf sd sendang duwur dan bunga semanggi. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Juantiu. Secara filosofis, Bentuk penghormatan langsung kepada identitas wilayah Sendang Duwur. Mencerminkan kekayaan alam dan kedalaman nilai Sendang Duwur./ A direct tribute to the identity of Sendang Duwur. It reflects the natural wealth and the profound values of Sendang Duwur./ センダン・ドゥウル地域のアイデンティティへの直接的な敬意の表れ。センダン・ドゥウルの自然の豊かさと深い価値を反映している。","The batik fabric features the Lamongan motif, characterized by black, red motifs. The dominant motifs include a machete made from the elementary school letters sendang duwur and clover. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 17 Sendang Dhuwur.jpg
Azyfa_35241420060301_Biota Laut_2022_FAUNA_FLORA,Lamongan,Biota Laut,"FAUNA (Cumi-Cumi/ Squid / イカ, Gurita/ Octopus / たこ, Kuda Laut/ Sea Horse / 海馬, Bintang Laut/ Starfish / 海星, Kerang Laut/ Seashells / 貝殻, Ikan/ Fish / 魚) // FLORA (Rumput Laut/ Seaweed / 海藻)","Kuning/ Yellow / 黄色, Ungu/ Purple / 紫",Tulis,Juantiu,Sintetik,Geometris,"Terinspirasi dari kekayaan kehidupan bawah laut di perairan pesisir Lamongan. Motif ini menggambarkan berbagai elemen laut seperti ikan, kerang, rumput laut, dan makhluk laut lainnya. Batik ini melambangkan pentingnya menjaga kelestarian ekosistem laut sebagai sumber kehidupan masyarakat pesisir.","Biota Laut merupakan mahakarya kelas Batik Lamongan dengan tata letak geometris. Warna yang digunakan adalah kuning dan ungu, membentuk motif utama cumi-cumi dan rumput laut. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Juantiu. Secara filosofis, Terinspirasi dari kekayaan kehidupan bawah laut di perairan pesisir Lamongan. Motif ini menggambarkan berbagai elemen laut seperti ikan, kerang, rumput laut, dan makhluk laut lainnya. Batik ini melambangkan pentingnya menjaga kelestarian ekosistem laut sebagai sumber kehidupan masyarakat pesisir.","The batik fabric features the Lamongan motif, characterized by yellow, purple motifs. The dominant motifs include squid and seaweed. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060301_Biota Laut_2022_FAUNA_FLORA.jpg
Azyfa_35241420060302_2025_Bandeng Lele Kembang Kates_FLORA_FAUNA,Lamongan,Bandeng Lele Daun Kates,"FLORA (Daun Kates/ Papaya Leaves / パパイヤの葉, Daun Bunga Melati/ Jasmine Leaves / ジャスミンの葉) // FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ)","Hijau/ Green / 緑, Sogen Emas/ Golden brown / 金茶, Hitam/ Black/ 黒い)",Tulis,Juantiu,Sintetik,Non Geometris,Daun Kates banyak manfaatnya dan banyak tumbuh di sekitar desa dikombinasikan dengan ikon Lamongan,"Bandeng Lele Daun Kates merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah hijau dan sogen emas dan hitam, membentuk motif utama daun kates dan bandeng lele. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Juantiu. Secara filosofis, Daun Kates banyak manfaatnya dan banyak tumbuh di sekitar desa dikombinasikan dengan ikon Lamongan","The batik fabric features the Lamongan motif, characterized by green, golden brown, black motifs. The dominant motifs include papaya leaves and milkfish and catfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060302_2025_Bandeng Lele Kembang Kates_FLORA_FAUNA.jpg
Azyfa_35241420060303_Junjung Drajat Nam Katil_2025_CLASSIC,Lamongan,Junjung Drajat Nam Katil,"CLASSIC (Nam/ Nam / ナム, Anyaman/ Weaving/ 網目)","Putih/ White/ 白い, Merah Hati/ Maroon/ エンジ色",Tulis,Primisima,Sintetik,Geometris,Motif klasik khas Sendang Duwur yang sudah turun temurun,"Junjung Drajat Nam Katil merupakan mahakarya kelas Batik Lamongan dengan tata letak geometris. Warna yang digunakan adalah putih dan merah hati, membentuk motif utama nam. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Primisima. Secara filosofis, Motif klasik khas Sendang Duwur yang sudah turun temurun","The batik fabric features the Lamongan motif, characterized by white, maroon motifs. The dominant motifs include nam. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060303_Junjung Drajat Nam Katil_2025_CLASSIC.jpg
Azyfa_35241420060304_Daun Talas Bunga Sendurat_2025_FLORA,Lamongan,Daun Talas Bunga Sendurat,"FLORA (Bunga Sendurat/ Daisy / デイジー, Daun Talas/ Taro Leaves / 里芋の葉)","Hitam/ Black / 黒い, Merah/ Red/ 赤い, Sogam/ Sogam / 黄褐色, Biru/ Blue/青い)",Tulis,Primisima,Sintetik,Non Geometris,Menggabungkan motif daun talas dengan bentuknya yang lebar dan kuat dan bunga daisy yang melambangkan kesederhanaan dan keceriaan. Mengajarkan pentingnya menjaga keseimbangan antara keteguhan hati dan keceriaan dalam menjalani kehidupan.,"Daun Talas Bunga Sendurat merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah hitam dan merah dan sogam dan biru, membentuk motif utama bunga sendurat. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Primisima. Secara filosofis, Menggabungkan motif daun talas dengan bentuknya yang lebar dan kuat dan bunga daisy yang melambangkan kesederhanaan dan keceriaan. Mengajarkan pentingnya menjaga keseimbangan antara keteguhan hati dan keceriaan dalam menjalani kehidupan.","The batik fabric features the Lamongan motif, characterized by black, red, sogam, blue motifs. The dominant motifs include daisy. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060304_Daun Talas Bunga Sendurat_2025_FLORA.jpg
Azyfa_35241420060305_Melati Parang Kombinasi_2025_FLORA_FAUNA,Lamongan,Melati Parang Kombinasi,FLORA (Melati/ Jasmine / ジャスミン) // FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ) // ,"Coklat Tua/ Dark Brown / ダークブラウン, Merah/ Red/ 赤い",Tulis,Prima Lampion,Sintetik,Non Geometris,Pengaruh dari batik Jogja-Solo,"Melati Parang Kombinasi merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah coklat tua dan merah, membentuk motif utama melati dan bandeng lele. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Prima Lampion. Secara filosofis, Pengaruh dari batik Jogja-Solo","The batik fabric features the Lamongan motif, characterized by dark brown, red motifs. The dominant motifs include jasmine and milkfish and catfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060305_Melati Parang Kombinasi_2025_FLORA_FAUNA.jpg
Azyfa_35241420060306_Bandeng Lele Manggar Kelapa_2025_FLORA_FAUNA_CULTURE,Lamongan,Bandeng Lele Manggar Kelapa,FLORA (Manggar Kelapa/ Coconut Blossom / ココナッツフラワー) // FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ) // CULTURE (Singo Mengkok/ Singo Mengkok / シンゴ・メンコック),"Sogen Merah/ Reddish Brown / 赤茶色, Hitam/ Black/ 黒い",Tulis,Prima Lampion,Sintetik,Non Geometris,Filosofi Manggar Kelapa yang juga ikon Lamongan,"Bandeng Lele Manggar Kelapa merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah sogen merah dan hitam, membentuk motif utama manggar kelapa, bandeng lele dan singo mengkok. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Prima Lampion. Secara filosofis, Filosofi Manggar Kelapa yang juga ikon Lamongan","The batik fabric features the Lamongan motif, characterized by reddish brown, black motifs. The dominant motifs include coconut blossom, milkfish and catfish and singo mengkok. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060306_Bandeng Lele Manggar Kelapa_2025_FLORA_FAUNA_CULTURE.jpg
Azyfa_35241420060307_Bandeng Lele Krisan Pompom_2025_FLORA_FAUNA,Lamongan,Bandeng Lele Bunga Krisan,FLORA (Bunga Krisan/ Chrysanthemum / 菊花 // FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ),Merah/ Red / 赤い,Tulis,Prima Lampion,Merah Hitam Sintetik (Coletan Remasol),Non Geometris,Bunga Krisan + Ikon Lamongan,"Bandeng Lele Bunga Krisan merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah merah, membentuk motif utama bunga krisan dan bandeng lele. Dibuat dengan teknik tulis menggunakan pewarna merah hitam sintetik (coletan remasol) pada kain Prima Lampion. Secara filosofis, Bunga Krisan + Ikon Lamongan","The batik fabric features the Lamongan motif, characterized by red motifs. The dominant motifs include chrysanthemum and milkfish and catfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060307_Bandeng Lele Krisan Pompom_2025_FLORA_FAUNA.jpg
Azyfa_35241420060308_Kupu- Kupu Bunga Krisan_2020_FAUNA_FLORA,Lamongan,Kupu-Kupu Bunga Krisan,"FAUNA (Kupu-Kupu/ Butterfly/ 蝶) // FLORA (Krisan/ Chrysanthemum / 菊花, Bunga Sepatu/ Hibiscus / ハイビスカス)","Hitam/ Black / 黒い, Biru/ Blue/ 青い, Sogen Emas/ Golden Brown / 金茶",Tulis,Juantiu,Sintetik (Naptol dan Remasol),Non Geometris,Terinspirasi dari keindahan kupu-kupu yang beterbangan di antara bunga krisan.,"Kupu-Kupu Bunga Krisan merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah hitam dan biru dan sogen emas, membentuk motif utama kupu-kupu dan krisan. Dibuat dengan teknik tulis menggunakan pewarna sintetik (naptol dan remasol) pada kain Juantiu. Secara filosofis, Terinspirasi dari keindahan kupu-kupu yang beterbangan di antara bunga krisan.","The batik fabric features the Lamongan motif, characterized by black, blue, golden brown motifs. The dominant motifs include butterfly and chrysanthemum. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060308_Kupu- Kupu Bunga Krisan_2020_FAUNA_FLORA.jpg
Azyfa_35241420060309_Sekar Jagad Lamongan_2025_FLORA,Lamongan,Sekar Jagad Lamongan,"FLORA (Melati/ Jasmine / ジャスミン, Sekar Jagad/ Sekar Jagad / セカール・ジャガッド)","Biru/ Blue/ 青い, Biru Safir/ Blue Sapphire/ サファイアブルー",Tulis,Prima Lampion,Sintetik,Non Geometris,Ikon kota Lamongan,"Sekar Jagad Lamongan merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah biru dan biru safir, membentuk motif utama melati. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Prima Lampion. Secara filosofis, Ikon kota Lamongan","The batik fabric features the Lamongan motif, characterized by blue, blue sapphire motifs. The dominant motifs include jasmine. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060309_Sekar Jagad Lamongan_2025_FLORA.jpg
Azyfa_35241420060310_Kembang Sepatu Kombinasi Mawar_2025_FLORA,Lamongan,Kembang Sepatu Kombinasi Mawar,"FLORA (Kembang Sepatu/ Hibiscus/ ハイビスカス, Mawar/ Rose/ 薔薇)",Hijau Olive/ Olive Green / オリーブグリーン,Tulis,Prima Lampion,Sintetik,Non Geometris,Terinspirasi dari tanaman yang sering ditemukan di pekarangan rumah,"Kembang Sepatu Kombinasi Mawar merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah hijau olive, membentuk motif utama kembang sepatu. Dibuat dengan teknik tulis menggunakan pewarna sintetik pada kain Prima Lampion. Secara filosofis, Terinspirasi dari tanaman yang sering ditemukan di pekarangan rumah","The batik fabric features the Lamongan motif, characterized by olive green motifs. The dominant motifs include hibiscus. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060310_Kembang Sepatu Kombinasi Mawar_2025_FLORA.jpg
Tutut Data 1 Kepiting Rowo Sisik Nogo,Lamongan,Kepiting Rowo Sisik Ikan,"FAUNA (Kepiting/ Crab / かに, Ikan/ Fish/ 魚)","Oren/Orange/ オレンジ, Coklat/ Brown/ 茶色, Hitam/ Black/ 黒い",Tulis,Primisima,"Sintetik (Naptol, Remasol)",Geometris,Potensi bahari kehidupan pesisir pantai utara,"Kepiting Rowo Sisik Ikan merupakan mahakarya kelas Batik Lamongan dengan tata letak geometris. Warna yang digunakan adalah oren dan coklat dan hitam, membentuk motif utama kepiting. Dibuat dengan teknik tulis menggunakan pewarna sintetik (naptol, remasol) pada kain Primisima. Secara filosofis, Potensi bahari kehidupan pesisir pantai utara","The batik fabric features the Lamongan motif, characterized by orange, brown, black motifs. The dominant motifs include crab. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Tutut Data 1 Kepiting Rowo Sisik Nogo.jpg
Tutut Data 2 Melati Bandeng Lele,Lamongan,Melati Bandeng Lele,FLORA (Melati/ Jasmine / ジャスミン) // FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ),"Biru/ Blue/ 青い, Rapit/ Pitch Black / ジェットブラック, Sogan/ Sogan / 黄褐色",Tulis,Juantiu,Sintetik (Naptol),Non Geometris,Terinspirasi dari bunga melati yang menggambarkan atau melambangkan kesucian,"Melati Bandeng Lele merupakan mahakarya kelas Batik Lamongan dengan tata letak non geometris. Warna yang digunakan adalah biru dan rapit dan sogan, membentuk motif utama melati dan bandeng lele. Dibuat dengan teknik tulis menggunakan pewarna sintetik (naptol) pada kain Juantiu. Secara filosofis, Terinspirasi dari bunga melati yang menggambarkan atau melambangkan kesucian","The batik fabric features the Lamongan motif, characterized by blue, pitch black, sogan motifs. The dominant motifs include jasmine and milkfish and catfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Tutut Data 2 Melati Bandeng Lele.jpg
